subset_idx,scene_token,frame_idx,scene_frame_label,sample_token
0,0220,0,scene-0220-frame-0000,1d06eafd85104d5ba2fa817a2c2a00c8
1,0220,10,scene-0220-frame-0010,55a62f4393454dee848a8b842c5a7e27
2,0220,20,scene-0220-frame-0020,c35bf9f4f95f4e51be9ed0ccbb829f97
3,0220,32,scene-0220-frame-0032,0db431f1b88b4f01901cd339c7aa9485
4,0220,42,scene-0220-frame-0042,1828e67644774079b8312f9ba6e24cbf
5,0220,52,scene-0220-frame-0052,e845504711e84c4f94331c809c987459
6,0220,62,scene-0220-frame-0062,57734cb5cdca41da8bb2f45d74565423
7,0220,72,scene-0220-frame-0072,56d62d48631246b182a585e85b28b598
8,0220,84,scene-0220-frame-0084,ccb16104e22c441a90f0360ac2210657
9,0220,94,scene-0220-frame-0094,9363c393be9a4f9fb332b0ebdfaca01c
10,0220,104,scene-0220-frame-0104,32bbcbe4190940b9a06c023183a3137b
11,0220,114,scene-0220-frame-0114,54918384727549fcbd4a970d2540b1f7
12,0220,124,scene-0220-frame-0124,0114986657754021bc4c92bd23197bb3
13,0220,136,scene-0220-frame-0136,89a5640413d14d5faedcf283416a3085
14,0220,146,scene-0220-frame-0146,f819e40dbf4441a9867f9cdcfa13c111
15,0220,156,scene-0220-frame-0156,a8fd919fa2234bf7946b7a04342b2c14
16,0221,0,scene-0221-frame-0000,2f4df67ab2fb495e809af2e3566cf10c
17,0221,10,scene-0221-frame-0010,50148d3b63864aa88193fa449cd6625e
18,0221,20,scene-0221-frame-0020,b9e36d07616043c2aadeaf8c32b4c5f4
19,0221,32,scene-0221-frame-0032,fd78b681ea7c4503b6ff0579fc49a516
20,0221,42,scene-0221-frame-0042,9ae9980c95234efdb5fe6aab07e3b28a
21,0221,52,scene-0221-frame-0052,0cc14c7c880f489eb0e43dea09aed093
22,0221,62,scene-0221-frame-0062,2943a33af32946e7a895773c925443ee
23,0221,72,scene-0221-frame-0072,6228baa68ef24a14b762d30f5c25120a
24,0221,84,scene-0221-frame-0084,2bcfbd46d8864090b4183a41c49acb2f
25,0221,94,scene-0221-frame-0094,4295d98b5f664eaba02326a2d13b512e
26,0221,104,scene-0221-frame-0104,eaa93edbdcb64def945b6f219653a9fe
27,0221,114,scene-0221-frame-0114,3ad3c5f0a3b448b5ae07330124ac6120
28,0221,124,scene-0221-frame-0124,c75770cbcb754ba98b56dda25a895e71
