platform,condition,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,cts_nds,primary
suv,ORACLE,0.5964,0.5675,0.5047,0.0754,0.1846,1.9500,0.1093,0.3766,0.3405,1.0000,
suv,NORMAL,0.5233,0.4537,0.5487,0.0706,0.2781,2.1410,0.1383,0.3317,0.2722,0.8775,
suv,EXT,0.4908,0.4137,0.6830,0.0710,0.2674,2.1660,0.1390,0.3123,0.2482,0.8230,
suv,IMG,0.2015,0.0200,1.1563,0.3148,0.6034,2.8345,0.1667,0.1360,0.0120,0.3379,IMG
suv,CAL,0.2047,0.0272,1.1217,0.3240,0.5774,2.9138,0.1870,0.1379,0.0163,0.3433,
bus,ORACLE,0.4490,0.2835,0.3346,0.1235,0.2596,1.9915,0.2096,0.2862,0.1701,1.0000,
bus,NORMAL,0.4842,0.3818,0.5704,0.0747,0.2864,2.1819,0.1357,0.3082,0.2291,1.0784,
bus,EXT,0.2582,0.0868,1.3639,0.1405,0.5305,2.4705,0.1812,0.1703,0.0521,0.5750,
bus,IMG,0.1615,0.0087,1.2976,0.2954,0.8433,3.4026,0.2894,0.1086,0.0052,0.3598,IMG
bus,CAL,0.1479,0.0079,1.1573,0.3059,0.9515,3.7180,0.3033,0.0995,0.0048,0.3294,
