platform,condition,class,AP,ATE,ASE,AOE,AVE,AAE
suv,ORACLE,car,0.6445,0.4687,0.1067,0.1178,1.9150,0.1006
suv,ORACLE,truck,0.5628,0.5258,0.0398,0.0863,2.5058,0.1913
suv,ORACLE,bus,0.5159,0.6207,0.0372,0.0587,2.3714,0.0901
suv,ORACLE,motorcycle,0.5999,0.4556,0.0997,0.1417,2.2327,0.0913
suv,ORACLE,bicycle,0.5636,0.3978,0.1419,0.0819,1.6973,0.1301
suv,ORACLE,pedestrian,0.5183,0.5595,0.0274,0.6213,0.9780,0.0522
suv,NORMAL,car,0.5116,0.5059,0.1148,0.1435,1.9330,0.1133
suv,NORMAL,truck,0.4668,0.5615,0.0516,0.2536,2.8159,0.1993
suv,NORMAL,bus,0.4236,0.7772,0.0202,0.0592,1.7574,0.2990
suv,NORMAL,motorcycle,0.4796,0.4830,0.0986,0.1762,2.5501,0.0660
suv,NORMAL,bicycle,0.3946,0.3646,0.1084,0.3770,2.7939,0.1021
suv,NORMAL,pedestrian,0.4460,0.6003,0.0300,0.6594,0.9956,0.0499
suv,EXT,car,0.4569,0.6691,0.1149,0.1425,1.9074,0.1114
suv,EXT,truck,0.4143,0.7020,0.0505,0.2177,2.8052,0.1944
suv,EXT,bus,0.4449,0.6638,0.0228,0.0592,2.0994,0.3020
suv,EXT,motorcycle,0.4274,0.6766,0.0980,0.1681,2.5129,0.0641
suv,EXT,bicycle,0.3301,0.6659,0.1073,0.3437,2.6677,0.1119
suv,EXT,pedestrian,0.4088,0.7205,0.0323,0.6735,1.0034,0.0502
suv,IMG,car,0.0302,1.2160,0.2265,0.6007,2.6200,0.2362
suv,IMG,truck,0.0137,1.1382,0.1773,0.3299,3.5616,0.3045
suv,IMG,bus,0.0051,0.9236,0.3559,0.1563,3.0567,0.1672
suv,IMG,motorcycle,0.0147,1.2173,0.3583,0.6605,3.6265,0.1468
suv,IMG,bicycle,0.0105,1.1842,0.6173,0.5820,2.7271,0.0811
suv,IMG,pedestrian,0.0456,1.2586,0.1534,1.2908,1.4149,0.0641
suv,CAL,car,0.0405,1.1947,0.2258,0.5933,2.5774,0.2307
suv,CAL,truck,0.0204,1.1132,0.1738,0.3462,3.6329,0.2939
suv,CAL,bus,0.0073,0.8224,0.4446,0.1330,3.4900,0.2891
suv,CAL,motorcycle,0.0222,1.1948,0.3461,0.6253,3.6420,0.1541
suv,CAL,bicycle,0.0193,1.1524,0.6031,0.5002,2.7453,0.0893
suv,CAL,pedestrian,0.0534,1.2530,0.1506,1.2666,1.3951,0.0651
bus,ORACLE,car,0.3486,0.3829,0.1409,0.2998,1.5648,0.1223
bus,ORACLE,truck,0.2512,0.3367,0.1255,0.1711,1.8714,0.2278
bus,ORACLE,bus,0.3127,0.2720,0.0371,0.0138,2.7725,0.6115
bus,ORACLE,motorcycle,0.3374,0.2812,0.1669,0.1067,2.1050,0.0737
bus,ORACLE,bicycle,0.2689,0.2256,0.2042,0.0492,2.4568,0.1778
bus,ORACLE,pedestrian,0.1819,0.5093,0.0665,0.9169,1.1782,0.0448
bus,NORMAL,car,0.4192,0.5254,0.1157,0.1686,1.9364,0.1191
bus,NORMAL,truck,0.4309,0.5668,0.0517,0.2580,2.8460,0.2018
bus,NORMAL,bus,0.4154,0.7776,0.0205,0.0593,1.7607,0.2984
bus,NORMAL,motorcycle,0.3933,0.5023,0.0976,0.1790,2.6081,0.0528
bus,NORMAL,bicycle,0.2458,0.4318,0.1312,0.3723,2.9319,0.0908
bus,NORMAL,pedestrian,0.3864,0.6185,0.0313,0.6813,1.0084,0.0509
bus,EXT,car,0.0936,1.3182,0.1868,0.7048,1.7849,0.1678
bus,EXT,truck,0.0682,1.3646,0.1057,0.2878,3.1578,0.2358
bus,EXT,bus,0.1543,1.4546,0.0552,0.1574,2.5063,0.3483
bus,EXT,motorcycle,0.0445,1.3626,0.1570,0.3698,3.1288,0.0825
bus,EXT,bicycle,0.0326,1.3885,0.2566,0.5538,2.9625,0.1878
bus,EXT,pedestrian,0.1277,1.2947,0.0817,1.1096,1.2827,0.0652
bus,IMG,car,0.0109,1.3029,0.2675,0.9845,3.3097,0.3216
bus,IMG,truck,0.0001,1.2760,0.3770,1.0046,4.7443,0.2032
bus,IMG,bus,0.0327,1.2534,0.1427,0.1444,1.3776,0.8644
bus,IMG,motorcycle,0.0071,1.3608,0.2216,0.5272,4.2307,0.0456
bus,IMG,bicycle,0.0000,1.2359,0.5692,1.0552,5.0906,0.2425
bus,IMG,pedestrian,0.0015,1.3565,0.1943,1.3440,1.6629,0.0593
bus,CAL,car,0.0128,1.1670,0.2498,1.0849,3.3016,0.3435
bus,CAL,truck,0.0002,1.1977,0.3340,1.3747,5.1260,0.3234
bus,CAL,bus,0.0248,0.9568,0.3131,0.1858,2.1064,0.8835
bus,CAL,motorcycle,0.0075,1.2059,0.2188,0.6629,5.3780,0.1022
bus,CAL,bicycle,0.0000,1.2216,0.5500,1.1816,4.8649,0.1149
bus,CAL,pedestrian,0.0024,1.1948,0.1700,1.2190,1.5309,0.0524
