vehicle,class,AP,mATE,mASE,mAOE,mAVE,mAAE
sedan,car,0.5977,0.4966,0.1136,0.1326,1.9395,0.1116
sedan,truck,0.4859,0.5566,0.0501,0.2516,2.8122,0.2009
sedan,bus,0.4148,0.7595,0.0207,0.0609,1.7349,0.3061
sedan,motorcycle,0.5822,0.4826,0.0980,0.1801,2.5500,0.0631
sedan,bicycle,0.5224,0.3476,0.1013,0.3718,2.8284,0.0924
sedan,pedestrian,0.4737,0.5956,0.0292,0.6484,0.9897,0.0495
suv,car,0.6445,0.4689,0.1067,0.1178,1.9150,0.1004
suv,truck,0.5626,0.5250,0.0394,0.0858,2.5059,0.1908
suv,bus,0.5158,0.6208,0.0372,0.0586,2.3716,0.0901
suv,motorcycle,0.6000,0.4556,0.0997,0.1415,2.2327,0.0913
suv,bicycle,0.5636,0.3978,0.1419,0.0819,1.6974,0.1301
suv,pedestrian,0.5182,0.5595,0.0274,0.6213,0.9780,0.0522
bus,car,0.3486,0.3829,0.1409,0.2998,1.5649,0.1223
bus,truck,0.2512,0.3367,0.1255,0.1710,1.8715,0.2278
bus,bus,0.3127,0.2720,0.0371,0.0138,2.7724,0.6115
bus,motorcycle,0.3374,0.2812,0.1669,0.1067,2.1051,0.0736
bus,bicycle,0.2689,0.2256,0.2042,0.0493,2.4568,0.1778
bus,pedestrian,0.1819,0.5092,0.0665,0.9168,1.1782,0.0448
