condition,axis,mag,protocol,nds,map6,rrs
ER,yaw,-20,CAM_FRONT,0.4417,0.3011,0.7964
ER,yaw,-20,CAM_FRONT_LEFT,0.5013,0.4112,0.9038
ER,yaw,-20,CAM_BACK_LEFT,0.4860,0.4081,0.8762
ER,yaw,-20,all,0.1779,0.0196,0.3207
ER,yaw,-16,CAM_FRONT_RIGHT,0.5276,0.4671,0.9512
ER,yaw,-16,CAM_BACK,0.4197,0.2780,0.7567
ER,yaw,-16,CAM_BACK_RIGHT,0.5286,0.4692,0.9530
ER,yaw,-12,CAM_FRONT,0.4505,0.3196,0.8123
ER,yaw,-12,CAM_FRONT_LEFT,0.5064,0.4234,0.9131
ER,yaw,-12,CAM_BACK_LEFT,0.5072,0.4351,0.9145
ER,yaw,-12,all,0.2480,0.0592,0.4471
ER,yaw,-8,CAM_FRONT_RIGHT,0.5371,0.4848,0.9684
ER,yaw,-8,CAM_BACK,0.4535,0.3336,0.8177
ER,yaw,-8,CAM_BACK_RIGHT,0.5382,0.4857,0.9703
ER,yaw,-4,CAM_FRONT,0.4989,0.4248,0.8994
ER,yaw,-4,CAM_FRONT_LEFT,0.5336,0.4767,0.9620
ER,yaw,-4,CAM_BACK_LEFT,0.5368,0.4855,0.9677
ER,yaw,-4,all,0.3942,0.2833,0.7107
ER,yaw,4,CAM_FRONT_RIGHT,0.5478,0.5025,0.9876
ER,yaw,4,CAM_BACK,0.4968,0.4182,0.8956
ER,yaw,4,CAM_BACK_RIGHT,0.5489,0.5049,0.9896
ER,yaw,8,CAM_FRONT,0.4644,0.3464,0.8372
ER,yaw,8,CAM_FRONT_LEFT,0.5171,0.4473,0.9322
ER,yaw,8,CAM_BACK_LEFT,0.5225,0.4601,0.9420
ER,yaw,8,all,0.3025,0.1252,0.5453
ER,yaw,12,CAM_FRONT_RIGHT,0.5416,0.4892,0.9765
ER,yaw,12,CAM_BACK,0.4367,0.2914,0.7874
ER,yaw,12,CAM_BACK_RIGHT,0.5401,0.4908,0.9737
ER,yaw,16,CAM_FRONT,0.4429,0.3001,0.7985
ER,yaw,16,CAM_FRONT_LEFT,0.4995,0.4155,0.9005
ER,yaw,16,CAM_BACK_LEFT,0.5044,0.4262,0.9095
ER,yaw,16,all,0.2271,0.0378,0.4094
ER,yaw,20,CAM_FRONT_RIGHT,0.5395,0.4813,0.9726
ER,yaw,20,CAM_BACK,0.4264,0.2615,0.7688
ER,yaw,20,CAM_BACK_RIGHT,0.5305,0.4737,0.9565
