condition,axis,mag,protocol,nds,map6,rrs
ER,yaw,-20,CAM_FRONT,0.4410,0.3001,0.8006
ER,yaw,-20,CAM_FRONT_LEFT,0.5026,0.4122,0.9126
ER,yaw,-20,CAM_BACK_LEFT,0.4810,0.3990,0.8733
ER,yaw,-20,all,0.1813,0.0197,0.3291
ER,yaw,-16,CAM_FRONT_RIGHT,0.5240,0.4621,0.9515
ER,yaw,-16,CAM_BACK,0.4198,0.2784,0.7622
ER,yaw,-16,CAM_BACK_RIGHT,0.5272,0.4653,0.9572
ER,yaw,-12,CAM_FRONT,0.4508,0.3181,0.8185
ER,yaw,-12,CAM_FRONT_LEFT,0.5063,0.4216,0.9193
ER,yaw,-12,CAM_BACK_LEFT,0.5063,0.4327,0.9192
ER,yaw,-12,all,0.2505,0.0619,0.4549
ER,yaw,-8,CAM_FRONT_RIGHT,0.5332,0.4781,0.9682
ER,yaw,-8,CAM_BACK,0.4514,0.3327,0.8196
ER,yaw,-8,CAM_BACK_RIGHT,0.5364,0.4817,0.9739
ER,yaw,-4,CAM_FRONT,0.4993,0.4243,0.9065
ER,yaw,-4,CAM_FRONT_LEFT,0.5321,0.4746,0.9662
ER,yaw,-4,CAM_BACK_LEFT,0.5348,0.4807,0.9710
ER,yaw,-4,all,0.3990,0.2932,0.7245
ER,yaw,4,CAM_FRONT_RIGHT,0.5439,0.4959,0.9875
ER,yaw,4,CAM_BACK,0.4952,0.4156,0.8991
ER,yaw,4,CAM_BACK_RIGHT,0.5464,0.4995,0.9921
ER,yaw,8,CAM_FRONT,0.4640,0.3429,0.8425
ER,yaw,8,CAM_FRONT_LEFT,0.5185,0.4468,0.9415
ER,yaw,8,CAM_BACK_LEFT,0.5210,0.4556,0.9460
ER,yaw,8,all,0.2993,0.1237,0.5434
ER,yaw,12,CAM_FRONT_RIGHT,0.5370,0.4813,0.9750
ER,yaw,12,CAM_BACK,0.4328,0.2877,0.7859
ER,yaw,12,CAM_BACK_RIGHT,0.5363,0.4816,0.9738
ER,yaw,16,CAM_FRONT,0.4405,0.2913,0.7998
ER,yaw,16,CAM_FRONT_LEFT,0.4998,0.4136,0.9075
ER,yaw,16,CAM_BACK_LEFT,0.5003,0.4162,0.9084
ER,yaw,16,all,0.2315,0.0350,0.4204
ER,yaw,20,CAM_FRONT_RIGHT,0.5336,0.4696,0.9688
ER,yaw,20,CAM_BACK,0.4236,0.2581,0.7691
ER,yaw,20,CAM_BACK_RIGHT,0.5271,0.4656,0.9570
ER,pitch,-20,CAM_FRONT,0.5249,0.4713,0.9531
ER,pitch,-20,CAM_FRONT_LEFT,0.5467,0.5054,0.9926
ER,pitch,-20,CAM_BACK_LEFT,0.5433,0.4940,0.9865
ER,pitch,-20,all,0.4727,0.4101,0.8583
ER,pitch,-16,CAM_FRONT_RIGHT,0.5481,0.5034,0.9952
ER,pitch,-16,CAM_BACK,0.5332,0.4854,0.9681
ER,pitch,-16,CAM_BACK_RIGHT,0.5484,0.5024,0.9958
ER,pitch,-12,CAM_FRONT,0.5455,0.5021,0.9904
ER,pitch,-12,CAM_FRONT_LEFT,0.5499,0.5049,0.9984
ER,pitch,-12,CAM_BACK_LEFT,0.5502,0.5045,0.9990
ER,pitch,-12,all,0.5314,0.4843,0.9649
ER,pitch,-8,CAM_FRONT_RIGHT,0.5503,0.5067,0.9992
ER,pitch,-8,CAM_BACK,0.5512,0.5098,1.0008
ER,pitch,-8,CAM_BACK_RIGHT,0.5496,0.5034,0.9979
ER,pitch,-4,CAM_FRONT,0.5523,0.5106,1.0028
ER,pitch,-4,CAM_FRONT_LEFT,0.5512,0.5059,1.0008
ER,pitch,-4,CAM_BACK_LEFT,0.5516,0.5069,1.0016
ER,pitch,-4,all,0.5536,0.5106,1.0051
ER,pitch,4,CAM_FRONT_RIGHT,0.5500,0.5058,0.9986
ER,pitch,4,CAM_BACK,0.5510,0.5085,1.0005
ER,pitch,4,CAM_BACK_RIGHT,0.5514,0.5074,1.0011
ER,pitch,8,CAM_FRONT,0.5485,0.5054,0.9959
ER,pitch,8,CAM_FRONT_LEFT,0.5526,0.5104,1.0033
ER,pitch,8,CAM_BACK_LEFT,0.5506,0.5071,0.9996
ER,pitch,8,all,0.5453,0.5015,0.9902
ER,pitch,12,CAM_FRONT_RIGHT,0.5500,0.5059,0.9986
ER,pitch,12,CAM_BACK,0.5494,0.5061,0.9975
ER,pitch,12,CAM_BACK_RIGHT,0.5498,0.5031,0.9982
ER,pitch,16,CAM_FRONT,0.5389,0.4905,0.9785
ER,pitch,16,CAM_FRONT_LEFT,0.5488,0.5046,0.9965
ER,pitch,16,CAM_BACK_LEFT,0.5487,0.5046,0.9963
ER,pitch,16,all,0.5175,0.4591,0.9396
ER,pitch,20,CAM_FRONT_RIGHT,0.5477,0.5020,0.9945
ER,pitch,20,CAM_BACK,0.5268,0.4741,0.9565
ER,pitch,20,CAM_BACK_RIGHT,0.5470,0.4991,0.9932
ER,roll,-20,CAM_FRONT,0.5465,0.5004,0.9922
ER,roll,-20,CAM_FRONT_LEFT,0.5511,0.5059,1.0006
ER,roll,-20,CAM_BACK_LEFT,0.5434,0.4936,0.9866
ER,roll,-20,all,0.5241,0.4723,0.9516
ER,roll,-16,CAM_FRONT_RIGHT,0.5500,0.5055,0.9985
ER,roll,-16,CAM_BACK,0.5462,0.5001,0.9917
ER,roll,-16,CAM_BACK_RIGHT,0.5502,0.5067,0.9990
ER,roll,-12,CAM_FRONT,0.5504,0.5072,0.9994
ER,roll,-12,CAM_FRONT_LEFT,0.5512,0.5066,1.0008
ER,roll,-12,CAM_BACK_LEFT,0.5481,0.4995,0.9952
ER,roll,-12,all,0.5447,0.4978,0.9891
