"condition(EXT=ER,IMG=VR,CAL=CR)",class,AP_normal,RRS_roll,RRS_pitch,RRS_yaw,RRS_ALL(1/7)
EXT,car,0.5948,0.9882,0.9734,0.7105,0.8907
EXT,truck,0.4814,0.9916,0.9724,0.6984,0.8875
EXT,bus,0.4061,1.0038,1.0197,0.7797,0.9344
EXT,motorcycle,0.5709,0.9909,0.9695,0.7254,0.8953
EXT,bicycle,0.5178,0.9877,0.9865,0.7553,0.9098
EXT,pedestrian,0.4726,0.9796,0.9758,0.7067,0.8874
IMG,car,0.5948,0.7619,0.7103,0.7143,0.7288
IMG,truck,0.4814,0.7649,0.6986,0.7000,0.7211
IMG,bus,0.4061,0.8594,0.8057,0.7799,0.8150
IMG,motorcycle,0.5709,0.7574,0.7027,0.7253,0.7285
IMG,bicycle,0.5178,0.7594,0.7065,0.7531,0.7397
IMG,pedestrian,0.4726,0.7248,0.6929,0.7063,0.7080
CAL,car,0.5948,0.7596,0.7110,0.9777,0.8161
CAL,truck,0.4814,0.7639,0.6991,0.9772,0.8134
CAL,bus,0.4061,0.8547,0.8036,1.0105,0.8896
CAL,motorcycle,0.5709,0.7541,0.7025,1.0039,0.8202
CAL,bicycle,0.5178,0.7545,0.7085,0.9913,0.8181
CAL,pedestrian,0.4726,0.7228,0.6939,0.9543,0.7903
