condition,class,AP_normal,RRS_roll,RRS_pitch,RRS_yaw,RRS_ALL_1of7
EXT,car,0.5982,0.9876,0.9734,0.7106,0.8905
EXT,truck,0.4859,0.9922,0.9712,0.6975,0.8870
EXT,bus,0.4219,0.9918,0.9970,0.7687,0.9192
EXT,motorcycle,0.5808,0.9873,0.9682,0.7196,0.8917
EXT,bicycle,0.5208,0.9879,0.9847,0.7534,0.9087
EXT,pedestrian,0.4732,0.9823,0.9766,0.7085,0.8891
IMG,car,0.5982,0.7607,0.7103,0.7141,0.7284
IMG,truck,0.4859,0.7645,0.6995,0.6976,0.7205
IMG,bus,0.4219,0.8382,0.7862,0.7692,0.7978
IMG,motorcycle,0.5808,0.7541,0.6976,0.7212,0.7243
IMG,bicycle,0.5208,0.7574,0.7098,0.7605,0.7426
IMG,pedestrian,0.4732,0.7276,0.6944,0.7086,0.7102
CAL,car,0.5982,0.7586,0.7110,0.9756,0.8151
CAL,truck,0.4859,0.7638,0.7000,0.9712,0.8117
CAL,bus,0.4219,0.8335,0.7846,0.9713,0.8631
CAL,motorcycle,0.5808,0.7505,0.6978,0.9994,0.8159
CAL,bicycle,0.5208,0.7537,0.7108,0.9997,0.8214
CAL,pedestrian,0.4732,0.7255,0.6954,0.9584,0.7931
