platform,condition,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,cts_nds,primary
suv,ORACLE,0.5138,0.4694,0.5613,0.1434,0.3362,2.0608,0.1686,0.3251,0.2817,1.0000,
suv,NORMAL,0.4625,0.3852,0.6113,0.1471,0.3774,2.3670,0.1651,0.2942,0.2311,0.9003,
suv,EXT,0.3530,0.2573,1.0695,0.1732,0.4169,2.4655,0.1669,0.2282,0.1544,0.6870,
suv,IMG,0.1991,0.0394,1.2750,0.3548,0.6651,3.0646,0.1862,0.1339,0.0237,0.3875,IMG
suv,CAL,0.2439,0.0936,1.2366,0.2424,0.6302,3.0691,0.1568,0.1614,0.0562,0.4747,
bus,ORACLE,0.5560,0.5400,0.5572,0.1425,0.3076,2.1019,0.1329,0.3512,0.3240,1.0000,
bus,NORMAL,0.4239,0.3182,0.6367,0.1456,0.3967,2.4902,0.1724,0.2708,0.1909,0.7625,
bus,EXT,0.2065,0.0470,1.3022,0.3690,0.6659,3.0832,0.1352,0.1391,0.0282,0.3714,
bus,IMG,0.1599,0.0098,1.2004,0.4178,0.7467,3.7410,0.2858,0.1083,0.0059,0.2876,IMG
bus,CAL,0.2675,0.1168,1.0213,0.2099,0.5665,3.0065,0.1323,0.1764,0.0701,0.4811,
