platform,condition,class,AP,note
suv,ORACLE,car,0.5198,
suv,ORACLE,truck,0.4614,
suv,ORACLE,bus,0.5385,
suv,ORACLE,motorcycle,0.5269,
suv,ORACLE,bicycle,0.3676,
suv,ORACLE,pedestrian,0.4023,
suv,NORMAL,car,0.412,
suv,NORMAL,truck,0.3741,
suv,NORMAL,bus,0.4783,
suv,NORMAL,motorcycle,0.4052,
suv,NORMAL,bicycle,0.3016,
suv,NORMAL,pedestrian,0.3401,
suv,EXT,car,0.2805,
suv,EXT,truck,0.2511,
suv,EXT,bus,0.35,
suv,EXT,motorcycle,0.2618,
suv,EXT,bicycle,0.1498,
suv,EXT,pedestrian,0.2507,
suv,IMG,car,0.0501,
suv,IMG,truck,0.0337,
suv,IMG,bus,0.0633,
suv,IMG,motorcycle,0.0253,
suv,IMG,bicycle,0.0136,
suv,IMG,pedestrian,0.0506,
suv,CAL,car,0.1173,
suv,CAL,truck,0.0804,
suv,CAL,bus,0.14,
suv,CAL,motorcycle,0.0871,
suv,CAL,bicycle,0.0426,
suv,CAL,pedestrian,0.0942,
bus,ORACLE,car,0.5913,
bus,ORACLE,truck,0.5291,
bus,ORACLE,bus,0.5556,
bus,ORACLE,motorcycle,0.5766,
bus,ORACLE,bicycle,0.5201,
bus,ORACLE,pedestrian,0.4676,
bus,NORMAL,car,0.3397,
bus,NORMAL,truck,0.3501,
bus,NORMAL,bus,0.4685,
bus,NORMAL,motorcycle,0.3246,
bus,NORMAL,bicycle,0.1365,
bus,NORMAL,pedestrian,0.2896,
bus,EXT,car,0.0719,
bus,EXT,truck,0.0328,
bus,EXT,bus,0.0373,
bus,EXT,motorcycle,0.0458,
bus,EXT,bicycle,0.021,
bus,EXT,pedestrian,0.0734,
bus,IMG,car,0.029,
bus,IMG,truck,0.0001,
bus,IMG,bus,0.0,
bus,IMG,motorcycle,0.0175,
bus,IMG,bicycle,0.0049,
bus,IMG,pedestrian,0.0074,
bus,CAL,car,0.1447,
bus,CAL,truck,0.0663,
bus,CAL,bus,0.0609,
bus,CAL,motorcycle,0.1123,
bus,CAL,bicycle,0.1336,
bus,CAL,pedestrian,0.1827,
