vehicle,class,AP,mATE,mASE,mAOE,mAVE,mAAE
sedan,car,0.4799,0.62,0.161,0.295,2.406,0.133
sedan,truck,0.3958,0.646,0.164,0.307,3.315,0.2
sedan,bus,0.4783,0.633,0.095,0.104,2.923,0.444
sedan,motorcycle,0.4918,0.549,0.149,0.173,2.462,0.077
sedan,bicycle,0.4051,0.437,0.233,0.115,1.738,0.072
sedan,pedestrian,0.3614,0.732,0.073,1.244,1.301,0.055
suv,car,0.5198,0.551,0.158,0.224,2.223,0.13
suv,truck,0.4614,0.603,0.153,0.233,3.062,0.189
suv,bus,0.5385,0.533,0.093,0.074,1.495,0.455
suv,motorcycle,0.5269,0.478,0.155,0.184,2.159,0.08
suv,bicycle,0.3676,0.498,0.228,0.055,2.116,0.1
suv,pedestrian,0.4023,0.705,0.073,1.245,1.31,0.058
bus,car,0.5913,0.553,0.157,0.204,1.994,0.122
bus,truck,0.5291,0.538,0.143,0.139,2.5,0.208
bus,bus,0.5556,0.737,0.106,0.054,2.112,0.238
bus,motorcycle,0.5766,0.422,0.154,0.192,2.402,0.076
bus,bicycle,0.5201,0.435,0.221,0.117,2.351,0.107
bus,pedestrian,0.4676,0.658,0.073,1.138,1.253,0.045
