condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
Normal,-,0,all,0.4900,0.4377,0.6008,0.1442,0.3991,2.4321,0.1447,0.3108,0.2626,1.0000
ER,yaw,-20,all,0.1948,0.0208,1.4494,0.2227,0.6658,2.6296,0.2676,0.1301,0.0125,0.3976
ER,yaw,-20,CAM_FRONT,0.4067,0.2882,0.6313,0.1495,0.4339,2.4975,0.1593,0.2604,0.1729,0.8301
ER,yaw,-20,CAM_FRONT_RIGHT,0.4618,0.3995,0.6600,0.1452,0.4136,2.4560,0.1610,0.2936,0.2397,0.9424
ER,yaw,-20,CAM_FRONT_LEFT,0.4423,0.3493,0.6248,0.1472,0.3991,2.4674,0.1525,0.2821,0.2096,0.9027
ER,yaw,-20,CAM_BACK,0.3702,0.2244,0.6562,0.1522,0.4459,2.4959,0.1655,0.2384,0.1347,0.7556
ER,yaw,-20,CAM_BACK_LEFT,0.4297,0.3488,0.6900,0.1449,0.4291,2.5641,0.1837,0.2738,0.2093,0.8769
ER,yaw,-20,CAM_BACK_RIGHT,0.4557,0.3841,0.6805,0.1454,0.4136,2.3881,0.1235,0.2905,0.2304,0.9301
ER,yaw,-16,all,0.2211,0.0314,1.3775,0.2038,0.5184,2.1706,0.2234,0.1475,0.0188,0.4513
ER,yaw,-16,CAM_FRONT,0.4106,0.2917,0.6376,0.1483,0.4154,2.4021,0.1513,0.2630,0.1750,0.8380
ER,yaw,-16,CAM_FRONT_RIGHT,0.4701,0.4089,0.6464,0.1453,0.4085,2.3396,0.1432,0.2989,0.2454,0.9595
ER,yaw,-16,CAM_FRONT_LEFT,0.4473,0.3615,0.6254,0.1464,0.4102,2.5011,0.1523,0.2850,0.2169,0.9129
ER,yaw,-16,CAM_BACK,0.3745,0.2337,0.6554,0.1511,0.4375,2.5778,0.1795,0.2408,0.1402,0.7644
ER,yaw,-16,CAM_BACK_LEFT,0.4366,0.3579,0.6923,0.1457,0.4101,2.5207,0.1753,0.2783,0.2147,0.8910
ER,yaw,-16,CAM_BACK_RIGHT,0.4545,0.3871,0.7064,0.1438,0.4087,2.4692,0.1319,0.2896,0.2322,0.9275
ER,yaw,-12,all,0.2445,0.0629,1.3793,0.1606,0.4353,2.0448,0.2732,0.1614,0.0378,0.4991
ER,yaw,-12,CAM_FRONT,0.4136,0.2995,0.6407,0.1495,0.4142,2.3816,0.1568,0.2647,0.1797,0.8442
ER,yaw,-12,CAM_FRONT_RIGHT,0.4763,0.4176,0.6337,0.1446,0.4064,2.3276,0.1408,0.3026,0.2506,0.9720
ER,yaw,-12,CAM_FRONT_LEFT,0.4519,0.3694,0.6266,0.1452,0.4020,2.4964,0.1544,0.2878,0.2217,0.9223
ER,yaw,-12,CAM_BACK,0.3834,0.2514,0.6736,0.1511,0.4236,2.4520,0.1748,0.2462,0.1508,0.7824
ER,yaw,-12,CAM_BACK_LEFT,0.4446,0.3712,0.7069,0.1446,0.3889,2.4318,0.1701,0.2833,0.2227,0.9073
ER,yaw,-12,CAM_BACK_RIGHT,0.4631,0.3971,0.6743,0.1430,0.4053,2.4939,0.1323,0.2948,0.2382,0.9451
ER,yaw,-8,all,0.2891,0.1304,1.1442,0.1522,0.3759,2.2826,0.2326,0.1892,0.0783,0.5901
ER,yaw,-8,CAM_FRONT,0.4249,0.3228,0.6489,0.1482,0.4133,2.4082,0.1546,0.2715,0.1937,0.8672
ER,yaw,-8,CAM_FRONT_RIGHT,0.4754,0.4170,0.6430,0.1445,0.4017,2.2875,0.1419,0.3021,0.2502,0.9702
ER,yaw,-8,CAM_FRONT_LEFT,0.4578,0.3826,0.6444,0.1451,0.3973,2.4683,0.1480,0.2915,0.2296,0.9344
ER,yaw,-8,CAM_BACK,0.4043,0.2878,0.6895,0.1514,0.3841,2.4345,0.1715,0.2591,0.1727,0.8251
ER,yaw,-8,CAM_BACK_LEFT,0.4530,0.3859,0.6786,0.1448,0.4037,2.4674,0.1725,0.2882,0.2316,0.9245
