condition,class,AP_normal,ROLL,PITCH,YAW,ALL
EXT,car,0.4768,0.9479,0.8347,0.7300,0.8376
EXT,truck,0.3948,0.9485,0.8033,0.7132,0.8217
EXT,bus,0.533,0.9323,0.8060,0.7338,0.8240
EXT,motorcycle,0.4859,0.9548,0.8261,0.7348,0.8385
EXT,bicycle,0.3769,0.9540,0.8521,0.7915,0.8659
EXT,pedestrian,0.3588,0.9369,0.8308,0.7333,0.8337
IMG,car,0.4768,0.7995,0.7565,0.7302,0.7621
IMG,truck,0.3948,0.8002,0.7377,0.7192,0.7523
IMG,bus,0.533,0.8271,0.7463,0.7601,0.7779
IMG,motorcycle,0.4859,0.7945,0.7383,0.7359,0.7563
IMG,bicycle,0.3769,0.7927,0.7409,0.7953,0.7763
IMG,pedestrian,0.3588,0.7711,0.7446,0.7355,0.7504
CAL,car,0.4768,0.8348,0.8711,0.9900,0.8986
CAL,truck,0.3948,0.8223,0.8426,0.9787,0.8812
CAL,bus,0.533,0.8546,0.8349,0.9179,0.8691
CAL,motorcycle,0.4859,0.8275,0.8482,1.0114,0.8957
CAL,bicycle,0.3769,0.8357,0.8308,1.0301,0.8989
CAL,pedestrian,0.3588,0.8148,0.8450,0.9756,0.8784
