model	mech	condition	camera	roll	pitch	yaw
BEVFormer	gates	EXT	CAM_FRONT	0.880	0.856	0.854
BEVFormer	gates	EXT	CAM_FRONT_LEFT	0.919	0.900	0.920
BEVFormer	gates	EXT	CAM_FRONT_RIGHT	0.970	0.932	0.959
BEVFormer	gates	EXT	CAM_BACK	0.834	0.807	0.799
BEVFormer	gates	EXT	CAM_BACK_LEFT	0.920	0.871	0.919
BEVFormer	gates	EXT	CAM_BACK_RIGHT	0.955	0.924	0.946
BEVFormer	gates	IMG	CAM_FRONT	0.891	0.861	0.862
BEVFormer	gates	IMG	CAM_FRONT_LEFT	0.923	0.898	0.920
BEVFormer	gates	IMG	CAM_FRONT_RIGHT	0.973	0.952	0.957
BEVFormer	gates	IMG	CAM_BACK	0.845	0.823	0.818
BEVFormer	gates	IMG	CAM_BACK_LEFT	0.930	0.876	0.918
BEVFormer	gates	IMG	CAM_BACK_RIGHT	0.969	0.940	0.965
BEVFormer	gates	CAL	CAM_FRONT	0.936	0.936	0.990
BEVFormer	gates	CAL	CAM_FRONT_LEFT	0.964	0.962	0.990
BEVFormer	gates	CAL	CAM_FRONT_RIGHT	0.987	0.968	1.004
BEVFormer	gates	CAL	CAM_BACK	0.915	0.899	0.961
BEVFormer	gates	CAL	CAM_BACK_LEFT	0.955	0.940	0.981
BEVFormer	gates	CAL	CAM_BACK_RIGHT	0.979	0.961	0.978
BEVDet	extract	EXT	CAM_FRONT	0.915	0.909	0.841
BEVDet	extract	EXT	CAM_FRONT_LEFT	0.980	0.966	0.915
BEVDet	extract	EXT	CAM_FRONT_RIGHT	0.968	0.974	0.957
BEVDet	extract	EXT	CAM_BACK	0.962	0.922	0.785
BEVDet	extract	EXT	CAM_BACK_LEFT	0.978	0.977	0.922
BEVDet	extract	EXT	CAM_BACK_RIGHT	0.977	0.987	0.957
BEVDet	extract	IMG	CAM_FRONT	0.899	0.886	0.840
BEVDet	extract	IMG	CAM_FRONT_LEFT	0.946	0.934	0.922
BEVDet	extract	IMG	CAM_FRONT_RIGHT	0.976	0.960	0.958
BEVDet	extract	IMG	CAM_BACK	0.823	0.816	0.781
BEVDet	extract	IMG	CAM_BACK_LEFT	0.946	0.917	0.929
BEVDet	extract	IMG	CAM_BACK_RIGHT	0.964	0.941	0.953
BEVDet	extract	CAL	CAM_FRONT	0.879	0.881	0.990
BEVDet	extract	CAL	CAM_FRONT_LEFT	0.943	0.935	1.000
BEVDet	extract	CAL	CAM_FRONT_RIGHT	0.958	0.950	0.996
BEVDet	extract	CAL	CAM_BACK	0.825	0.823	0.963
BEVDet	extract	CAL	CAM_BACK_LEFT	0.942	0.918	1.000
BEVDet	extract	CAL	CAM_BACK_RIGHT	0.939	0.933	0.992
BEVDepth	extract	EXT	CAM_FRONT	0.963	0.941	0.845
BEVDepth	extract	EXT	CAM_FRONT_LEFT	0.981	0.964	0.922
BEVDepth	extract	EXT	CAM_FRONT_RIGHT	0.996	0.992	0.961
BEVDepth	extract	EXT	CAM_BACK	0.963	0.923	0.786
BEVDepth	extract	EXT	CAM_BACK_LEFT	0.979	0.960	0.917
BEVDepth	extract	EXT	CAM_BACK_RIGHT	0.999	0.995	0.968
BEVDepth	extract	IMG	CAM_FRONT	0.917	0.902	0.852
BEVDepth	extract	IMG	CAM_FRONT_LEFT	0.947	0.934	0.922
BEVDepth	extract	IMG	CAM_FRONT_RIGHT	0.980	0.965	0.963
BEVDepth	extract	IMG	CAM_BACK	0.826	0.814	0.791
BEVDepth	extract	IMG	CAM_BACK_LEFT	0.933	0.900	0.910
BEVDepth	extract	IMG	CAM_BACK_RIGHT	0.977	0.964	0.966
BEVDepth	extract	CAL	CAM_FRONT	0.907	0.899	1.002
BEVDepth	extract	CAL	CAM_FRONT_LEFT	0.947	0.933	0.993
BEVDepth	extract	CAL	CAM_FRONT_RIGHT	0.977	0.960	1.002
BEVDepth	extract	CAL	CAM_BACK	0.827	0.809	0.971
BEVDepth	extract	CAL	CAM_BACK_LEFT	0.931	0.899	0.983
BEVDepth	extract	CAL	CAM_BACK_RIGHT	0.973	0.953	0.996
DETR3D	gates	EXT	CAM_FRONT	0.879	0.855	0.824
DETR3D	gates	EXT	CAM_FRONT_LEFT	0.932	0.923	0.912
DETR3D	gates	EXT	CAM_FRONT_RIGHT	0.969	0.960	0.964
DETR3D	gates	EXT	CAM_BACK	0.859	0.838	0.808
DETR3D	gates	EXT	CAM_BACK_LEFT	0.938	0.908	0.928
DETR3D	gates	EXT	CAM_BACK_RIGHT	0.960	0.950	0.957
